bC	FB	rho	time	Z1	Z2	X1	XC	A	M
0.01	1	0.0105	507.60034478013466	16632.606695426348	1.851513862697546	9995.444104103852	1026.53350918017	82.16642149071356	1020.6652510228855	NaN
0.01	1	0.0105	507.67036252853893	16632.048015781456	1.8518654474371385	9995.332134048935	1026.6938636828008	82.26837879334184	1020.7915556412603	NaN
0.01	1	0.0105	507.74049868281264	16631.48502541766	1.852215851709441	9995.218406024598	1026.853284863498	82.3643977117303	1020.9076616415609	NaN
0.01	1	0.0105	507.8107824491091	16630.917496107428	1.8525652216950128	9995.102860627589	1027.011839545192	82.45369484794325	1021.0142453234364	NaN
0.01	1	0.0105	507.88124626067247	16630.34516788145	1.8529137165738514	9994.985430485645	1027.1695997727604	82.53556141272514	1021.1120583115676	NaN
0.01	1	0.0105	507.9519247801722	16629.767756514826	1.853261503250824	9994.866041561307	1027.3266403496862	82.6093650457628	1021.2019193656834	NaN
0.01	1	0.0105	508.0228537738363	16629.18496235473	1.8536087506042287	9994.74461480571	1027.4830361944694	82.67455176441015	1021.2847069596795	NaN
0.01	1	0.0105	508.0940687708453	16628.596481242977	1.8539556228572485	9994.621068335742	1027.6388593417798	82.73064836584604	1021.3613523723699	NaN
0.01	1	0.0105	508.16560359322557	16628.002016888357	1.854302272520112	9994.495320020884	1027.7941757968852	82.77726573407487	1021.4328331319537	NaN
0.01	1	0.0105	508.23748866664516	16627.401295477695	1.8546488324937218	9994.367290665206	1027.9490420655989	82.8141032414715	1021.5001663206157	NaN
0.01	1	0.0105	508.30974921750214	16626.794081705626	1.8549954078768063	9994.236907633933	1028.1035016096826	82.84095446785737	1021.5644013553434	NaN
0.01	1	0.0105	508.38240340557115	16626.180195840032	1.8553420677312285	9994.104108858959	1028.2575813452675	82.85771418117903	1021.6266116898357	NaN
0.01	1	0.0105	508.4554605458064	16625.55953053352	1.855688837544622	9993.968846954873	1028.4112885141167	82.86438629552693	1021.6878849389724	NaN
0.01	1	0.0105	508.528919673687	16624.9320651709	1.8560356935735973	9993.831092957806	1028.5646084463756	82.86109216367916	1021.7493110530813	NaN
0.01	1	0.0105	508.60276869048084	16624.297875603195	1.8563825601153938	9993.69083918398	1028.7175036617723	82.84807814938318	1021.8119683385369	NaN
0.01	1	0.0105	508.67698442095224	16623.65713619876	1.8567293111559335	9993.548100470247	1028.86991492053	82.82572109214686	1021.876907560273	NaN
0.01	1	0.0105	508.75153373076444	16623.010112632175	1.8570757769165112	9993.402913353417	1029.0217644141965	82.79453013381755	1021.9451347140821	NaN
0.01	1	0.0105	508.8263757192289	16622.357144930957	1.8574217551850951	9993.255332972474	1029.172961001992	82.75514360629053	1022.0175934974505	NaN
0.01	1	0.0105	508.9014648457211	16621.69862168245	1.8577670265944604	9993.105427786446	1029.3234070830126	82.70832023689509	1022.0951488188526	NaN
0.01	1	0.0105	508.9767545007079	16621.034949432258	1.8581113714553215	9992.953272932338	1029.4730060279983	82.65492487318846	1022.1785725312056	NaN
0.01	1	0.0105	509.05220059616335	16620.36652092362	1.8584545861418993	9992.798943012516	1029.6216692870871	82.59590975838422	1022.2685324274651	NaN
0.01	1	0.0105	509.1277646525619	16619.69368685788	1.858796496673624	9992.642505390404	1029.7693221586537	82.53229309540221	1022.3655849166532	NaN
0.01	1	0.0105	509.20341616403397	16619.01673331484	1.859136968606891	9992.484014538626	1029.9159078618354	82.46513673000341	1022.470171458817	NaN
0.01	1	0.0105	509.27913403566725	16618.33586693533	1.8594759124483993	9992.323508003594	1030.0613896074985	82.39552470377191	1022.5826182182099	NaN
0.01	1	0.0105	509.35490717034753	16617.65120746745	1.8598132850977145	9992.161003982075	1030.2057509253573	82.32454386878948	1022.7031382716777	NaN
0.01	1	0.0105	509.43073436208437	16616.96278651777	1.8601490881597038	9991.996500317038	1030.3489946420566	82.25326721426426	1022.8318356113899	NaN
0.01	1	0.0105	509.50662363131164	16616.27055148185	1.8604833638395128	9991.82997473613	1030.491140842185	82.18274012508631	1022.968710122198	NaN
0.01	1	0.0105	509.582591207117	16615.574372935815	1.8608161894072672	9991.661385973453	1030.6322242529475	82.11396935940891	1023.1136629424226	NaN
0.01	1	0.0105	509.65866029270757	16614.874054328902	1.861147670880108	9991.490675528872	1030.772291339558	82.04791434150945	1023.2665017181109	NaN
0.01	1	0.0105	509.7348597159725	16614.169343086553	1.8614779363933285	9991.317769870026	1030.9113973175383	81.98548025361741	1023.4269454229217	NaN
0.01	1	0.0105	509.8112225328165	16613.45994251652	1.8618071295656877	9991.142582940722	1031.049603213269	81.92751238251513	1023.5946285666082	NaN
0.01	1	0.0105	509.8877846581941	16612.74552381993	1.8621354031825692	9990.965018809105	1031.186973108671	81.87479118132502	1023.7691048307369	NaN
0.01	1	0.0105	509.9645834558919	16612.025738836986	1.8624629128953625	9990.784974613593	1031.3235714421157	81.82802766202175	1023.9498500111727	NaN
0.01	1	0.0105	510.041656409735	16611.300232373324	1.8627898114595252	9990.602343522529	1031.4594605831444	81.78785866156862	1024.1362646956088	NaN
0.01	1	0.0105	510.1190397343994	16610.568655420197	1.8631162428993548	9990.417018036362	1031.5946984237396	81.75484179567292	1024.327676607196	NaN
0.01	1	0.0105	510.1967670184454	16609.83067839905	1.8634423369952942	9990.228893420184	1031.729336151305	81.729449848008	1024.5233431550432	NaN
0.01	1	0.0105	510.2748678874909	16609.0860045323	1.8637682040377088	9990.037871293847	1031.8634161786235	81.71206454446813	1024.7224545625397	NaN
0.01	1	0.0105	510.3533665835736	16608.33438432888	1.8640939294137457	9989.843863638236	1031.9969700523845	81.70296978527935	1024.9241377307517	NaN
0.01	1	0.0105	510.4322806922074	16607.575628974675	1.8644195689938174	9989.646796655981	1032.1300167379384	81.70234446298271	1025.1274618562204	NaN
0.01	1	0.0105	510.51161991779895	16606.809623545058	1.8647451448881271	9989.44661471643	1032.2625610993828	81.71025527223965	1025.331445956499	NaN
0.01	1	0.0105	510.5913851058705	16606.036338095524	1.8650706423734764	9989.243283871745	1032.3945928968735	81.72665002932628	1025.535069120226	NaN
0.01	1	0.0105	510.67156763087695	16605.25583540009	1.8653960084315597	9989.036794594933	1032.5260864683983	81.75135224711059	1025.7372839287234	NaN
0.01	1	0.0105	510.75214925319995	16604.46827421826	1.8657211522563681	9988.827163403554	1032.657001223743	81.78405783303006	1025.937033201967	NaN
